izquierda,centro,derecha,accion
84,1008,55,adelante
85,1008,56,adelante
84,1007,55,adelante
84,1008,55,adelante
84,1008,55,adelante
84,1008,54,adelante
83,1008,54,adelante
83,1008,54,adelante
83,1007,54,adelante
83,1008,54,adelante
83,1008,54,adelante
83,1007,54,adelante
83,1008,54,adelante
101,51,52,parar
101,51,51,parar
101,51,1002,izq_fuerte
101,51,52,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,1001,izq_fuerte
101,51,1001,izq_fuerte
101,51,1001,izq_fuerte
101,51,51,parar
101,51,51,parar
102,51,51,parar
102,51,1001,izq_fuerte
102,51,1001,izq_fuerte
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,52,51,parar
102,51,51,parar
104,51,51,parar
104,51,51,parar
104,51,51,parar
103,51,51,parar
104,51,51,parar
103,51,51,parar
108,51,51,parar
112,51,51,parar
112,51,52,parar
112,51,51,parar
110,51,1001,izq_fuerte
109,51,1002,izq_fuerte
107,51,1001,izq_fuerte
106,51,51,parar
105,1008,51,adelante
105,1007,51,adelante
104,1008,51,adelante
104,1008,51,adelante
104,1008,51,adelante
104,1007,51,adelante
103,1007,51,adelante
104,50,51,parar
104,51,1001,izq_fuerte
104,51,1001,izq_fuerte
103,50,1001,izq_fuerte
103,51,1002,izq_fuerte
103,50,1002,izq_fuerte
103,51,51,parar
104,51,51,parar
104,51,51,parar
103,51,51,parar
103,51,1001,izq_fuerte
103,51,1002,izq_fuerte
102,51,52,parar
102,51,51,parar
102,51,51,parar
102,51,52,parar
102,52,51,parar
102,51,51,parar
102,51,52,parar
102,51,52,parar
102,52,51,parar
102,51,52,parar
103,52,52,parar
103,52,51,parar
103,51,52,parar
103,52,52,parar
104,51,1001,izq_fuerte
103,51,1002,izq_fuerte
103,52,52,parar
102,1008,52,adelante
102,1008,51,adelante
102,1007,52,adelante
103,1007,52,adelante
103,1007,51,adelante
103,1007,51,adelante
102,1008,51,adelante
102,1008,51,adelante
102,1008,52,adelante
102,1008,51,adelante
102,1008,51,adelante
102,52,51,parar
103,51,1001,izq_fuerte
104,51,1002,izq_fuerte
104,51,1002,izq_fuerte
103,51,1002,izq_fuerte
103,51,51,parar
103,51,52,parar
103,51,51,parar
102,51,51,parar
103,51,1001,izq_fuerte
101,50,1002,izq_fuerte
101,50,1001,izq_fuerte
102,50,1002,izq_fuerte
103,51,51,parar
102,51,1002,izq_fuerte
102,51,1001,izq_fuerte
102,51,1002,izq_fuerte
102,52,52,parar
100,51,52,parar
100,52,52,parar
100,51,52,parar
99,51,1001,izq_fuerte
99,51,1001,izq_fuerte
99,52,1002,izq_fuerte
98,51,1002,izq_fuerte
99,51,1002,izq_fuerte
99,51,1001,izq_fuerte
99,51,1002,izq_fuerte
98,51,1002,izq_fuerte
98,51,1001,izq_fuerte
99,51,51,parar
99,51,52,parar
99,51,52,parar
99,51,1001,izq_fuerte
98,50,1001,izq_fuerte
99,50,1001,izq_fuerte
99,51,1002,izq_fuerte
99,51,51,parar
99,1007,51,adelante
99,1007,51,adelante
100,51,52,parar
100,51,51,parar
100,51,52,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,1002,izq_fuerte
99,51,1002,izq_fuerte
99,51,1002,izq_fuerte
99,51,51,parar
99,1008,51,adelante
98,1008,49,adelante
98,1008,50,adelante
99,1008,50,adelante
100,1008,50,adelante
100,1008,50,adelante
100,1008,51,adelante
101,51,51,parar
101,51,51,parar
101,51,51,parar
101,51,51,parar
101,51,51,parar
101,51,51,parar
101,51,51,parar
101,52,51,parar
101,51,52,parar
101,51,52,parar
101,51,52,parar
101,52,52,parar
101,51,52,parar
101,51,52,parar
101,52,52,parar
101,51,52,parar
101,51,51,parar
101,52,51,parar
101,51,52,parar
101,52,52,parar
100,51,1002,izq_fuerte
100,51,52,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
100,51,51,parar
99,51,1001,izq_fuerte
99,51,1001,izq_fuerte
98,1007,51,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,50,adelante
98,1008,50,adelante
98,1008,50,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
97,1008,50,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,50,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
99,1008,51,adelante
98,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1007,50,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1007,51,adelante
99,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
99,1008,51,adelante
96,1008,51,adelante
98,1007,51,adelante
97,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,50,adelante
98,1008,51,adelante
97,1008,51,adelante
98,1007,51,adelante
97,1007,51,adelante
98,1008,50,adelante
97,1008,50,adelante
98,1008,50,adelante
98,1007,50,adelante
98,1007,50,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1007,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,1008,51,adelante
98,51,1002,izq_fuerte
99,51,1001,izq_fuerte
99,51,1001,izq_fuerte
